Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Rogue,bit.ly/T-Hamm-Ez,"ryan marino, thomas hamilton","jack bush, jason inumerable",21,9,Pool Play,clubspike3,Expert
Goat Boat Moat...,Broke Back Boys,"caleb shorter, luke nickel","louie simbajon, mitch kelley",21,15,Pool Play,clubspike3,Expert
ClubSpike Big Slick,Ambisinistrous,"chris wilkins, neal bergman","rohil senapati, lucas klopfenstein",21,15,Pool Play,clubspike3,Expert
GFD Evasive Maneuvers,Revised Tweenie Hut Jr's,"jenson miller, michael barkman","andy trower, colin hobart",21,16,Pool Play,clubspike3,Expert
GFD,Semke/Priller,"andrew sullivan, justin barr","mike priller, wyatt semke",21,8,Pool Play,clubspike3,Expert
Basketball Purity,Split Decision,"jack bushart, joey reynolds","grant longland, kyle fowler",21,14,Pool Play,clubspike3,Expert
Rogue,Broke Back Boys,"ryan marino, thomas hamilton","louie simbajon, mitch kelley",21,15,Pool Play,clubspike3,Expert
Beard/Broekema,bit.ly/T-Hamm-Ez,"gavin broekema, lindros beard","jack bush, jason inumerable",21,15,Pool Play,clubspike3,Expert
ClubSpike Big Slick,Revised Tweenie Hut Jr's,"chris wilkins, neal bergman","andy trower, colin hobart",21,13,Pool Play,clubspike3,Expert
Super Awesome Spikers,Ambisinistrous,"chris kaptur, max fiebelkorn","rohil senapati, lucas klopfenstein",17,21,Pool Play,clubspike3,Expert
GFD,Split Decision,"andrew sullivan, justin barr","grant longland, kyle fowler",21,14,Pool Play,clubspike3,Expert
Sebring / Zapata,Semke/Priller,"ruben zapata, skyler sebring","mike priller, wyatt semke",21,17,Pool Play,clubspike3,Expert
Rogue,Beard/Broekema,"ryan marino, thomas hamilton","gavin broekema, lindros beard",21,9,Pool Play,clubspike3,Expert
Goat Boat Moat...,bit.ly/T-Hamm-Ez,"caleb shorter, luke nickel","jack bush, jason inumerable",21,15,Pool Play,clubspike3,Expert
ClubSpike Big Slick,Super Awesome Spikers,"chris wilkins, neal bergman","chris kaptur, max fiebelkorn",21,16,Pool Play,clubspike3,Expert
GFD Evasive Maneuvers,Ambisinistrous,"jenson miller, michael barkman","rohil senapati, lucas klopfenstein",21,13,Pool Play,clubspike3,Expert
GFD,Sebring / Zapata,"andrew sullivan, justin barr","ruben zapata, skyler sebring",21,16,Pool Play,clubspike3,Expert
Basketball Purity,Semke/Priller,"jack bushart, joey reynolds","mike priller, wyatt semke",21,18,Pool Play,clubspike3,Expert
Goat Boat Moat...,Beard/Broekema,"caleb shorter, luke nickel","gavin broekema, lindros beard",19,21,Pool Play,clubspike3,Expert
Broke Back Boys,bit.ly/T-Hamm-Ez,"louie simbajon, mitch kelley","jack bush, jason inumerable",15,21,Pool Play,clubspike3,Expert
GFD Evasive Maneuvers,Super Awesome Spikers,"jenson miller, michael barkman","chris kaptur, max fiebelkorn",21,14,Pool Play,clubspike3,Expert
Revised Tweenie Hut Jr's,Ambisinistrous,"andy trower, colin hobart","rohil senapati, lucas klopfenstein",23,21,Pool Play,clubspike3,Expert
Basketball Purity,Sebring / Zapata,"jack bushart, joey reynolds","ruben zapata, skyler sebring",21,15,Pool Play,clubspike3,Expert
Split Decision,Semke/Priller,"grant longland, kyle fowler","mike priller, wyatt semke",21,17,Pool Play,clubspike3,Expert
Rogue,Goat Boat Moat...,"ryan marino, thomas hamilton","caleb shorter, luke nickel",22,20,Pool Play,clubspike3,Expert
Beard/Broekema,Broke Back Boys,"gavin broekema, lindros beard","louie simbajon, mitch kelley",21,15,Pool Play,clubspike3,Expert
ClubSpike Big Slick,GFD Evasive Maneuvers,"chris wilkins, neal bergman","jenson miller, michael barkman",18,21,Pool Play,clubspike3,Expert
Super Awesome Spikers,Revised Tweenie Hut Jr's,"chris kaptur, max fiebelkorn","andy trower, colin hobart",21,16,Pool Play,clubspike3,Expert
GFD,Basketball Purity,"andrew sullivan, justin barr","jack bushart, joey reynolds",21,16,Pool Play,clubspike3,Expert
Sebring / Zapata,Split Decision,"ruben zapata, skyler sebring","grant longland, kyle fowler",15,21,Pool Play,clubspike3,Expert
Split Decision,Super Awesome Spikers,"grant longland, kyle fowler","chris kaptur, max fiebelkorn",21,14,Bracket play round of Round of 16 game 1,clubspike3,Expert
