Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Hamilton/Miller,Bekovatch,"jenson miller, thomas hamilton","bekah smith, zak kovatch",21,13,Pool Play,mra-holmescounty-2023,Expert
Kiddo pops,Wife Huggers,"jack w, luke nickel","aleks essen, gabriel abood",21,14,Pool Play,mra-holmescounty-2023,Expert
Back Off,gimme dat SHMONEY,"grant klapwijk, michael barkman","mason weaver, sam dunlevy",21,9,Pool Play,mra-holmescounty-2023,Expert
Simple Enough,Whiskey Throttle,"andrew sullivan, zachary troyer","brad yates, jacob ford",21,15,Pool Play,mra-holmescounty-2023,Expert
Horse Vendetta,CHEESE,"caleb shorter, justin barr","caleb graber, ty fields",21,11,Pool Play,mra-holmescounty-2023,Expert
Hive Mind,Ace of Spades,"cole maddox, lindros beard","drew banziger, levi rogers",21,11,Pool Play,mra-holmescounty-2023,Expert
Superior,Short Kings,"nate wilson, ryan marino","andrew thatcher, donovan michel",21,11,Pool Play,mra-holmescounty-2023,Expert
TRP Stick Figures,Fo Gish,"cody dryer, nick evanko","daniel patten, sathvik vasa",21,17,Pool Play,mra-holmescounty-2023,Expert
Devil’s Sympathy,Better At Ping Pong,"henry pilliod, jack bushart","jack lord, toby zorn",21,7,Pool Play,mra-holmescounty-2023,Expert
Broekema/Reynolds,Sons of Kenneth,"gavin broekema, joey reynolds","drew martin, lance martin",21,15,Pool Play,mra-holmescounty-2023,Expert
Fiebelkorn/Quispe,Pringle bros,"josef quispe, max fiebelkorn","micah troyer, thomas troyer",21,17,Pool Play,mra-holmescounty-2023,Expert
Hamilton/Miller,Wife Huggers,"jenson miller, thomas hamilton","aleks essen, gabriel abood",21,15,Pool Play,mra-holmescounty-2023,Expert
MLR Nardo Wicks,Bekovatch,"rob's traveler, tim lacagnina","bekah smith, zak kovatch",21,11,Pool Play,mra-holmescounty-2023,Expert
Back Off,Whiskey Throttle,"grant klapwijk, michael barkman","brad yates, jacob ford",21,11,Pool Play,mra-holmescounty-2023,Expert
Flukey Fellas,gimme dat SHMONEY,"collin yoder, grant yoder","mason weaver, sam dunlevy",21,9,Pool Play,mra-holmescounty-2023,Expert
Horse Vendetta,Ace of Spades,"caleb shorter, justin barr","drew banziger, levi rogers",21,8,Pool Play,mra-holmescounty-2023,Expert
Pressurized,CHEESE,"clifford amadeo leveque, ruben zapata","caleb graber, ty fields",21,10,Pool Play,mra-holmescounty-2023,Expert
Superior,Fo Gish,"nate wilson, ryan marino","daniel patten, sathvik vasa",21,13,Pool Play,mra-holmescounty-2023,Expert
saunter,Short Kings,"nic dewey, pj showalter","andrew thatcher, donovan michel",22,24,Pool Play,mra-holmescounty-2023,Expert
Devil’s Sympathy,Sons of Kenneth,"henry pilliod, jack bushart","drew martin, lance martin",21,11,Pool Play,mra-holmescounty-2023,Expert
Broekema/Reynolds,Fiebelkorn/Quispe,"gavin broekema, joey reynolds","josef quispe, max fiebelkorn",21,18,Pool Play,mra-holmescounty-2023,Expert
Pringle bros,Better At Ping Pong,"micah troyer, thomas troyer","jack lord, toby zorn",21,17,Pool Play,mra-holmescounty-2023,Expert
Hamilton/Miller,MLR Nardo Wicks,"jenson miller, thomas hamilton","rob's traveler, tim lacagnina",21,11,Pool Play,mra-holmescounty-2023,Expert
Kiddo pops,Bekovatch,"jack w, luke nickel","bekah smith, zak kovatch",21,17,Pool Play,mra-holmescounty-2023,Expert
Back Off,Flukey Fellas,"grant klapwijk, michael barkman","collin yoder, grant yoder",21,9,Pool Play,mra-holmescounty-2023,Expert
