Player 1,Player 2,Team Name,Division,Tournament
aj halliday,yanai hamel-sasson,Are you playing this weekend?,Expert,roogang2023
grant klapwijk,henry pilliod,GFD Buckaroo,Expert,roogang2023
daniel patten,tate geiser,GFD Forfeit,Expert,roogang2023
andrew sullivan,luke nickel,GFD Gabe Utsecks,Expert,roogang2023
nick evanko,rob's traveler,GFD On The Low Low,Expert,roogang2023
jenson miller,justin barr,GFD Santa’s helpers,Expert,roogang2023
bekah smith,jack wood,Golden Retriever Club,Expert,roogang2023
levi rogers,trenton swann,He blunders,Expert,roogang2023
caleb graber,gabe gabrovsek,No Bulk Just Cut,Expert,roogang2023
clifford amadeo leveque,jack bushart,Orthodox,Expert,roogang2023
brad yates,zak kovatch,PTSD Toronto,Expert,roogang2023
caleb shorter,cody dryer,TRP Train Boyz,Expert,roogang2023
adrianna grothause,ruben zapata,Vortex,Expert,roogang2023
aleks essen,rachel dolan,Women don't sweat,Expert,roogang2023
