Player 1,Player 2,Team Name,Division,Tournament
kade janikula,owen lippman,*sheeeeeesh*,Expert (4.5-5.0+),atlts2023
christian bennett,kyle ackermann,A/B,Expert (4.5-5.0+),atlts2023
coleman epperson's,ian murphy,Abstract,Expert (4.5-5.0+),atlts2023
ben landes,dakota wheeler,Benihana Spice,Expert (4.5-5.0+),atlts2023
ben savage,jared beaufait,Benny Boo & Jare Bear,Expert (4.5-5.0+),atlts2023
patric chu,west peterson,Bot Cream,Expert (4.5-5.0+),atlts2023
harrison baisden,kobe mumpower,Breezi,Expert (4.5-5.0+),atlts2023
bradley clark,grant marshall,Clark Marshall,Expert (4.5-5.0+),atlts2023
dawson morgan,jack coolbaugh,Condensed Milk,Expert (4.5-5.0+),atlts2023
kade chapman,peter lu,Dawg Walk,Expert (4.5-5.0+),atlts2023
colton olvey,tyler hutzell,Ice Age,Expert (4.5-5.0+),atlts2023
cole maddox,jared dean katz,IDGAF,Expert (4.5-5.0+),atlts2023
carter hodgson,jeffrey taylor,LBP,Expert (4.5-5.0+),atlts2023
benjamin bunze,thomas hoffman,Mind Games,Expert (4.5-5.0+),atlts2023
david gonzales,kevin um,Quavo,Expert (4.5-5.0+),atlts2023
anish jona,chris suhr,Quispe's Quties,Expert (4.5-5.0+),atlts2023
polk denmark,sam bunze,Shake ‘n Bake,Expert (4.5-5.0+),atlts2023
ben jones,abel manley,SpickyChickyBicky,Expert (4.5-5.0+),atlts2023
christian bennett,kieran rose,Spooked👻,Expert (4.5-5.0+),atlts2023
griffin sisk,stephen jones,Terrible Internship Locations,Expert (4.5-5.0+),atlts2023
brycen patterson,tommy drake,Terrible Serve,Expert (4.5-5.0+),atlts2023
joseph motto,sean caufield,Too Much Sandwich,Expert (4.5-5.0+),atlts2023
grant laughlin,sarah allen,TRP Mega Bed,Expert (4.5-5.0+),atlts2023
matthew burrows,noah luskus,TRP Pump Pics,Expert (4.5-5.0+),atlts2023
bransen eppes,sam kilinski,True Outcome,Expert (4.5-5.0+),atlts2023
allie foster,olivia jenki,Ugly Barnacles,Expert (4.5-5.0+),atlts2023
grace lambert,j.t. hill,_🦧_,Contenders (4.0),atlts2023
jacob stewart,wyatt koth,Barber Shop,Contenders (4.0),atlts2023
frederik hardervig,rafaela bastos,Bimba Berimba,Contenders (4.0),atlts2023
antoinette james,samiah malta,Dawg Pack,Contenders (4.0),atlts2023
jeremy lee,nicholas chao,DHS SpikeCats,Contenders (4.0),atlts2023
cole lazerow,miles schamroth,Dirty Dawgs,Contenders (4.0),atlts2023
ben celestino,elias derickson,Dirty Divers,Contenders (4.0),atlts2023
daryan hoover,joseph martin,DJ n Bubba,Contenders (4.0),atlts2023
jacob narayan,tiff ding,Meow Meow Jelly Bo,Contenders (4.0),atlts2023
leslie nguyen,paraj patel,PJ and Les,Contenders (4.0),atlts2023
neel mirani,stefano rossetti,Pocket Aces,Contenders (4.0),atlts2023
clay stephens,matthew congiusta,Rocking Around the Roundnet,Contenders (4.0),atlts2023
braedan thomas,daley freeman,Super Spike Bros,Contenders (4.0),atlts2023
anthony schenk,eric baldwin,Unnamed,Contenders (4.0),atlts2023
brennan mcowen,joey alisesky,We Always Choose Rock,Contenders (4.0),atlts2023
ashton hobbs,emma angeletti,Wonder Women,Contenders (4.0),atlts2023
ashton hobbs,kieran rose,Kash,Coed,atlts2023
david gonzales,paige scanlon,Nice Kicks,Coed,atlts2023
griffin sisk,meagan bown,Stay Humble,Coed,atlts2023
benjamin bunze,samiah malta,The People’s Champs,Coed,atlts2023
maddie huffstetler,tommy drake,Toddie,Coed,atlts2023
matthew burrows,sarah allen,TRP Yay/Neigh,Coed,atlts2023
grant laughlin,tiff ding,Tweas & Tees,Coed,atlts2023
