Player 1,Player 2,Team Name,Division,Tournament
benjamin bunze,polk denmark,Belk,Expert (4.5-5.0+),columbia2023
sarah allen,west peterson,Birthday Spankings,Expert (4.5-5.0+),columbia2023
owen lippman,peter lu,BOT Mattress Pad,Expert (4.5-5.0+),columbia2023
ali jenki,brendan ferreira,Casual Aliens,Expert (4.5-5.0+),columbia2023
jacob summers,kieran rose,Glizzy Boost,Expert (4.5-5.0+),columbia2023
allen ombougno,david gonzales,No Idea,Expert (4.5-5.0+),columbia2023
olivia jenki,rendall weaver,Too Easy,Expert (4.5-5.0+),columbia2023
brent summers,isaiah hillman,Ballbarians,Contenders (4.0),columbia2023
caden reeves,john peterson,Ballers,Contenders (4.0),columbia2023
dylan thomas,garason helms,Consumers,Contenders (4.0),columbia2023
daniel gunn,david arnold,Everything Bagels,Contenders (4.0),columbia2023
andrew murray,matthew smith,Executive Spikes,Contenders (4.0),columbia2023
andrey andriyevskiy,luke little,Nefarious,Contenders (4.0),columbia2023
maddie huffstetler,shelby vanderhoof,Remy Action,Contenders (4.0),columbia2023
jared mccabe,walker richardson,Spike and Ikes,Contenders (4.0),columbia2023
jake kelley,pau drexler,Stranger Danger,Contenders (4.0),columbia2023
audrey summers,hoyt williams,Summers/Hoyt,Contenders (4.0),columbia2023
grace o'connor,katie pierson,University of South Carolina,Contenders (4.0),columbia2023
austin smith,eric baldwin,Wrappers Delight,Contenders (4.0),columbia2023
jared mccabe,michelle wilson,Jeesh,Coed,columbia2023
