Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Ackermann/Cole,Whiff,"kyle ackermann, matthew cole","david nara, emily vasquez",21,8,Pool Play,nashvillets2023,Expert (4.5-5.0+)
Longland/Fowler,Tim & Greg,"grant longland, kyle fowler","ian timan, julia brochu",21,13,Pool Play,nashvillets2023,Expert (4.5-5.0+)
Put Me in Coach,Holy Guacamole,"henry pilliod, owen bass","bradley clark, robert porter",21,12,Pool Play,nashvillets2023,Expert (4.5-5.0+)
Marino’s Mistress,Special Fajitas for Two,"brendan ferreira, patric chu","diego ramirez, joseph motto",21,9,Pool Play,nashvillets2023,Expert (4.5-5.0+)
Roundabouts,Camp Counselors,"coleman epperson's, olivia jenki","austin seroka, tyler brown",21,17,Pool Play,nashvillets2023,Expert (4.5-5.0+)
Cold Brew🧋,Beard/Marshall,"ali jenki, sully woodlee","grant marshall, lindros beard",22,24,Pool Play,nashvillets2023,Expert (4.5-5.0+)
Ackermann/Cole,Tim & Greg,"kyle ackermann, matthew cole","ian timan, julia brochu",21,7,Pool Play,nashvillets2023,Expert (4.5-5.0+)
Longland/Fowler,Put Me in Coach,"grant longland, kyle fowler","henry pilliod, owen bass",25,24,Pool Play,nashvillets2023,Expert (4.5-5.0+)
Holy Guacamole,Whiff,"bradley clark, robert porter","david nara, emily vasquez",21,14,Pool Play,nashvillets2023,Expert (4.5-5.0+)
Marino’s Mistress,Camp Counselors,"brendan ferreira, patric chu","austin seroka, tyler brown",21,10,Pool Play,nashvillets2023,Expert (4.5-5.0+)
Roundabouts,Cold Brew🧋,"coleman epperson's, olivia jenki","ali jenki, sully woodlee",21,19,Pool Play,nashvillets2023,Expert (4.5-5.0+)
Beard/Marshall,Special Fajitas for Two,"grant marshall, lindros beard","diego ramirez, joseph motto",21,10,Pool Play,nashvillets2023,Expert (4.5-5.0+)
