Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
U.S.Eh,The Utilities,"emerson dean, thomas hamilton","johnny mcrae, liam mcrae",11,2,Pool Play,rotcwindsor2023,Challenger
FCR BHAD Boys,Cheat Right,"joey renaud, nethaniel gabriel","jesse paul, connor guinness",11,5,Pool Play,rotcwindsor2023,Challenger
CRO guru goblins,On Y Va,"leonardo tullo, nathan goh","jesse holmes, macy pinsonneault",11,1,Pool Play,rotcwindsor2023,Challenger
CAL,FCR Cold Cut Combo,"calyn kir, clifford amadeo leveque","isaiah bergsma, jake choi",11,5,Pool Play,rotcwindsor2023,Challenger
Candy,JQ^2,"adrian garcea, conrad wagler","jhanaj quispe, josef quispe",15,13,Pool Play,rotcwindsor2023,Challenger
Milk Men,Till We Spike Again,"brendan reesor, derek soetemans","aaron charette, trevor fleming",11,4,Pool Play,rotcwindsor2023,Challenger
U.S.Eh,Cheat Right,"emerson dean, thomas hamilton","jesse paul, connor guinness",11,5,Pool Play,rotcwindsor2023,Challenger
FCR BHAD Boys,FCR Cold Cut Combo,"joey renaud, nethaniel gabriel","isaiah bergsma, jake choi",13,15,Pool Play,rotcwindsor2023,Challenger
CRO guru goblins,JQ^2,"leonardo tullo, nathan goh","jhanaj quispe, josef quispe",11,7,Pool Play,rotcwindsor2023,Challenger
CAL,Till We Spike Again,"calyn kir, clifford amadeo leveque","aaron charette, trevor fleming",11,7,Pool Play,rotcwindsor2023,Challenger
Candy,NEMpire,"adrian garcea, conrad wagler","andrew collard, brock .roundnet",14,15,Pool Play,rotcwindsor2023,Challenger
On Y Va,The Utilities,"jesse holmes, macy pinsonneault","johnny mcrae, liam mcrae",14,15,Pool Play,rotcwindsor2023,Challenger
U.S.Eh,On Y Va,"emerson dean, thomas hamilton","jesse holmes, macy pinsonneault",11,0,Pool Play,rotcwindsor2023,Challenger
FCR BHAD Boys,Till We Spike Again,"joey renaud, nethaniel gabriel","aaron charette, trevor fleming",11,7,Pool Play,rotcwindsor2023,Challenger
CRO guru goblins,NEMpire,"leonardo tullo, nathan goh","andrew collard, brock .roundnet",11,7,Pool Play,rotcwindsor2023,Challenger
Candy,Milk Men,"adrian garcea, conrad wagler","brendan reesor, derek soetemans",11,8,Pool Play,rotcwindsor2023,Challenger
JQ^2,The Utilities,"jhanaj quispe, josef quispe","johnny mcrae, liam mcrae",8,11,Pool Play,rotcwindsor2023,Challenger
FCR Cold Cut Combo,Cheat Right,"isaiah bergsma, jake choi","jesse paul, connor guinness",6,11,Pool Play,rotcwindsor2023,Challenger
U.S.Eh,FCR Cold Cut Combo,"emerson dean, thomas hamilton","isaiah bergsma, jake choi",11,5,Pool Play,rotcwindsor2023,Challenger
CRO guru goblins,Milk Men,"leonardo tullo, nathan goh","brendan reesor, derek soetemans",11,8,Pool Play,rotcwindsor2023,Challenger
CAL,Candy,"calyn kir, clifford amadeo leveque","adrian garcea, conrad wagler",15,14,Pool Play,rotcwindsor2023,Challenger
NEMpire,The Utilities,"andrew collard, brock .roundnet","johnny mcrae, liam mcrae",11,5,Pool Play,rotcwindsor2023,Challenger
Till We Spike Again,Cheat Right,"aaron charette, trevor fleming","jesse paul, connor guinness",4,11,Pool Play,rotcwindsor2023,Challenger
JQ^2,On Y Va,"jhanaj quispe, josef quispe","jesse holmes, macy pinsonneault",11,8,Pool Play,rotcwindsor2023,Challenger
U.S.Eh,JQ^2,"emerson dean, thomas hamilton","jhanaj quispe, josef quispe",13,10,Pool Play,rotcwindsor2023,Challenger
FCR BHAD Boys,Candy,"joey renaud, nethaniel gabriel","adrian garcea, conrad wagler",14,15,Pool Play,rotcwindsor2023,Challenger
CRO guru goblins,CAL,"leonardo tullo, nathan goh","calyn kir, clifford amadeo leveque",8,11,Pool Play,rotcwindsor2023,Challenger
