Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Sushi Roll,Le Pass Down,"amanda jamieson, patrick fazzio","aaron witkin, baillie olin",19,21,Pool Play,ers23nova,4.0 Open Advanced
The Slammin' Vandys,Big Time Roundnet,"drew vandenburg, kyle vandenburg","cj mierchuk, olivia leach",9,21,Pool Play,ers23nova,4.0 Open Advanced
Whiff Wizards,Simply Bad,"grayson szarko-berkhout, james halpin","abigail lannetti, kelly field",21,13,Pool Play,ers23nova,4.0 Open Advanced
Knights of the Night,Paul Gobrial,"eric schuettenberg, mike uhle","alex arriza, reagan gary",20,22,Pool Play,ers23nova,4.0 Open Advanced
Rogo bros,Wet Fleece,"ashish sakhuja, caleb taddeo","bryan covell, sam pasti",18,21,Pool Play,ers23nova,4.0 Open Advanced
Is there dairy in that?,Spike It Like It's Hot,"rachel dolan, yanai hamel-sasson","emma hales, justin woffinden",21,13,Pool Play,ers23nova,4.0 Open Advanced
Sushi Roll,Big Time Roundnet,"amanda jamieson, patrick fazzio","cj mierchuk, olivia leach",7,21,Pool Play,ers23nova,4.0 Open Advanced
Thunder Sharks,Le Pass Down,"aidan murphy, sam daunt","aaron witkin, baillie olin",-5,-5,Pool Play,ers23nova,4.0 Open Advanced
Whiff Wizards,Paul Gobrial,"grayson szarko-berkhout, james halpin","alex arriza, reagan gary",14,21,Pool Play,ers23nova,4.0 Open Advanced
Pho Kings,Simply Bad,"bel belvedere, james mills","abigail lannetti, kelly field",21,16,Pool Play,ers23nova,4.0 Open Advanced
Rogo bros,Spike It Like It's Hot,"ashish sakhuja, caleb taddeo","emma hales, justin woffinden",21,15,Pool Play,ers23nova,4.0 Open Advanced
Big Budis,Wet Fleece,"jonathan guo, nathaniel suryabudi","bryan covell, sam pasti",22,20,Pool Play,ers23nova,4.0 Open Advanced
Sushi Roll,Thunder Sharks,"amanda jamieson, patrick fazzio","aidan murphy, sam daunt",-5,-5,Pool Play,ers23nova,4.0 Open Advanced
The Slammin' Vandys,Le Pass Down,"drew vandenburg, kyle vandenburg","aaron witkin, baillie olin",21,16,Pool Play,ers23nova,4.0 Open Advanced
Whiff Wizards,Pho Kings,"grayson szarko-berkhout, james halpin","bel belvedere, james mills",24,22,Pool Play,ers23nova,4.0 Open Advanced
Knights of the Night,Simply Bad,"eric schuettenberg, mike uhle","abigail lannetti, kelly field",21,10,Pool Play,ers23nova,4.0 Open Advanced
Rogo bros,Big Budis,"ashish sakhuja, caleb taddeo","jonathan guo, nathaniel suryabudi",15,21,Pool Play,ers23nova,4.0 Open Advanced
Is there dairy in that?,Wet Fleece,"rachel dolan, yanai hamel-sasson","bryan covell, sam pasti",15,21,Pool Play,ers23nova,4.0 Open Advanced
The Slammin' Vandys,Thunder Sharks,"drew vandenburg, kyle vandenburg","aidan murphy, sam daunt",-5,-5,Pool Play,ers23nova,4.0 Open Advanced
Big Time Roundnet,Le Pass Down,"cj mierchuk, olivia leach","aaron witkin, baillie olin",21,15,Pool Play,ers23nova,4.0 Open Advanced
