Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Sweet Nothings,LL Mosh,"brendan ferreira, noah luskus","josh didonato, mike garrett",17,21,Pool Play,long-island-classic-2023,Premier (5.0+)
Dad and Sun,True,"dennis joseph, sunny gu","artie singer, jack coolbaugh",21,17,Pool Play,long-island-classic-2023,Premier (5.0+)
RVA Spike,LL Rookies,"brayden latham, will picone","rafi moldovsky, ryan paul",21,8,Pool Play,long-island-classic-2023,Premier (5.0+)
Pruett/Bingham,We Serve,"jared bingham, lucas pruett","desmond benton, tyler cisek",19,21,Pool Play,long-island-classic-2023,Premier (5.0+)
Lazy Bots,Jake & Charles,"cade larson, owen lippman","charles mordacq, jake mottershead",21,15,Pool Play,long-island-classic-2023,Premier (5.0+)
Project Roundnet,Dummy wide son,"josh esposo, samuel corey","a.j. martin, thomas hoffman",21,15,Pool Play,long-island-classic-2023,Premier (5.0+)
M. Model / R. Santiago,Goodnow/Ulrich,"max model, ricky santiago","brody ulrich, jake goodnow",21,17,Pool Play,long-island-classic-2023,Premier (5.0+)
Guachos,Pocket Rockets,"josh fragiacomo, ryan oswalt","donald fung, nick mesa",21,14,Pool Play,long-island-classic-2023,Premier (5.0+)
Fernandez/Kornfeld,Rowland’Sweeney,"kyan kornfeld, tyler fernandez","david rowlands, stephen sweeney",21,13,Pool Play,long-island-classic-2023,Premier (5.0+)
Jersey Boyz,White Lotus Roundnet,"corey weiss, matt spolarich","ely marciano, mitchell carter",21,18,Pool Play,long-island-classic-2023,Premier (5.0+)
Endurance,PBR ELBROS,"danny gologorsky, maxwell gunneson","joel morrell, michael capobianco",21,15,Pool Play,long-island-classic-2023,Premier (5.0+)
Sweet Nothings,True,"brendan ferreira, noah luskus","artie singer, jack coolbaugh",21,12,Pool Play,long-island-classic-2023,Premier (5.0+)
Pickle Juice,LL Mosh,"josh hutko, sam mccune","josh didonato, mike garrett",15,21,Pool Play,long-island-classic-2023,Premier (5.0+)
RVA Spike,We Serve,"brayden latham, will picone","desmond benton, tyler cisek",21,12,Pool Play,long-island-classic-2023,Premier (5.0+)
Free On Mach,LL Rookies,"demitri forand, pat marinich","rafi moldovsky, ryan paul",21,13,Pool Play,long-island-classic-2023,Premier (5.0+)
Lazy Bots,Dummy wide son,"cade larson, owen lippman","a.j. martin, thomas hoffman",21,14,Pool Play,long-island-classic-2023,Premier (5.0+)
Driver’s License,Jake & Charles,"alex daly, charles tipton","charles mordacq, jake mottershead",25,24,Pool Play,long-island-classic-2023,Premier (5.0+)
M. Model / R. Santiago,Pocket Rockets,"max model, ricky santiago","donald fung, nick mesa",21,12,Pool Play,long-island-classic-2023,Premier (5.0+)
PBR Pickle Boys,Goodnow/Ulrich,"brian perlson, jacob arzaga","brody ulrich, jake goodnow",21,13,Pool Play,long-island-classic-2023,Premier (5.0+)
Fernandez/Kornfeld,White Lotus Roundnet,"kyan kornfeld, tyler fernandez","ely marciano, mitchell carter",17,21,Pool Play,long-island-classic-2023,Premier (5.0+)
Jersey Boyz,Endurance,"corey weiss, matt spolarich","danny gologorsky, maxwell gunneson",21,18,Pool Play,long-island-classic-2023,Premier (5.0+)
PBR ELBROS,Rowland’Sweeney,"joel morrell, michael capobianco","david rowlands, stephen sweeney",15,21,Pool Play,long-island-classic-2023,Premier (5.0+)
Sweet Nothings,Pickle Juice,"brendan ferreira, noah luskus","josh hutko, sam mccune",21,12,Pool Play,long-island-classic-2023,Premier (5.0+)
Dad and Sun,LL Mosh,"dennis joseph, sunny gu","josh didonato, mike garrett",20,22,Pool Play,long-island-classic-2023,Premier (5.0+)
RVA Spike,Free On Mach,"brayden latham, will picone","demitri forand, pat marinich",21,12,Pool Play,long-island-classic-2023,Premier (5.0+)
Pruett/Bingham,LL Rookies,"jared bingham, lucas pruett","rafi moldovsky, ryan paul",21,17,Pool Play,long-island-classic-2023,Premier (5.0+)
Lazy Bots,Driver’s License,"cade larson, owen lippman","alex daly, charles tipton",21,13,Pool Play,long-island-classic-2023,Premier (5.0+)
Project Roundnet,Jake & Charles,"josh esposo, samuel corey","charles mordacq, jake mottershead",21,15,Pool Play,long-island-classic-2023,Premier (5.0+)
M. Model / R. Santiago,PBR Pickle Boys,"max model, ricky santiago","brian perlson, jacob arzaga",21,18,Pool Play,long-island-classic-2023,Premier (5.0+)
Guachos,Goodnow/Ulrich,"josh fragiacomo, ryan oswalt","brody ulrich, jake goodnow",25,23,Pool Play,long-island-classic-2023,Premier (5.0+)
Fernandez/Kornfeld,PBR ELBROS,"kyan kornfeld, tyler fernandez","joel morrell, michael capobianco",21,12,Pool Play,long-island-classic-2023,Premier (5.0+)
Jersey Boyz,Rowland’Sweeney,"corey weiss, matt spolarich","david rowlands, stephen sweeney",21,13,Pool Play,long-island-classic-2023,Premier (5.0+)
Endurance,White Lotus Roundnet,"danny gologorsky, maxwell gunneson","ely marciano, mitchell carter",13,21,Pool Play,long-island-classic-2023,Premier (5.0+)
Dad and Sun,Pickle Juice,"dennis joseph, sunny gu","josh hutko, sam mccune",19,21,Pool Play,long-island-classic-2023,Premier (5.0+)
True,LL Mosh,"artie singer, jack coolbaugh","josh didonato, mike garrett",21,11,Pool Play,long-island-classic-2023,Premier (5.0+)
Pruett/Bingham,Free On Mach,"jared bingham, lucas pruett","demitri forand, pat marinich",16,21,Pool Play,long-island-classic-2023,Premier (5.0+)
We Serve,LL Rookies,"desmond benton, tyler cisek","rafi moldovsky, ryan paul",21,16,Pool Play,long-island-classic-2023,Premier (5.0+)
Project Roundnet,Driver’s License,"josh esposo, samuel corey","alex daly, charles tipton",23,21,Pool Play,long-island-classic-2023,Premier (5.0+)
Dummy wide son,Jake & Charles,"a.j. martin, thomas hoffman","charles mordacq, jake mottershead",21,14,Pool Play,long-island-classic-2023,Premier (5.0+)
Guachos,PBR Pickle Boys,"josh fragiacomo, ryan oswalt","brian perlson, jacob arzaga",20,22,Pool Play,long-island-classic-2023,Premier (5.0+)
Pocket Rockets,Goodnow/Ulrich,"donald fung, nick mesa","brody ulrich, jake goodnow",21,18,Pool Play,long-island-classic-2023,Premier (5.0+)
