Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Insystem,Moshpit,"blake bosak, etienne cote","bryan fonseca, shane soto",21,12,Pool Play,rivercup,Premier 5.0
Soggy Tacos,CRO Double McTwist,"donald fung, josh hutko","jared ang, kyle jeung",21,16,Pool Play,rivercup,Premier 5.0
Critical Hit,Yin&yang,"justin barr, vincent mathieu","brandon farronato, colin tolentino",21,18,Pool Play,rivercup,Premier 5.0
GFD Get Gaped,CRO Yorkers,"nick evanko, tim lacagnina","dylan mark, stephen sweeney",21,9,Pool Play,rivercup,Premier 5.0
Tube Steaks,GFD Cleveland Cowboys,"emerson dean, skyler sebring","daniel patten, levi rogers",21,17,Pool Play,rivercup,Premier 5.0
Wesburn,Do2,"eddy leung, ivan zeng","david rowlands, spencer argenna",21,7,Pool Play,rivercup,Premier 5.0
CRO Fall Damage,Prairie Oysters,"chris brown, tyler babin","deryk kirchner, keaton kirchner",22,20,Pool Play,rivercup,Premier 5.0
Nelson/Wideman,Nuts N Cuts LLC,"connor nelson, nick wideman","brad yates, rob's traveler",21,19,Pool Play,rivercup,Premier 5.0
GFD Shorter & Taller,Quick Hands,"andrew sullivan, caleb shorter","jordan meredith, joël laliberté",24,25,Pool Play,rivercup,Premier 5.0
The Prince,Milk Men,"maxime prince, samuel prince","brendan reesor, derek soetemans",21,9,Pool Play,rivercup,Premier 5.0
Sum(m)er Tim(e),CRO Reverse Funnel,"tim clifford, sumer dass","nathan goh, nicholas puopolo",19,21,Pool Play,rivercup,Premier 5.0
Insystem,CRO Double McTwist,"blake bosak, etienne cote","jared ang, kyle jeung",21,14,Pool Play,rivercup,Premier 5.0
LIV Big Guns,Moshpit,"clifford amadeo leveque, grayson wills","bryan fonseca, shane soto",23,21,Pool Play,rivercup,Premier 5.0
Critical Hit,CRO Yorkers,"justin barr, vincent mathieu","dylan mark, stephen sweeney",21,12,Pool Play,rivercup,Premier 5.0
CRO Indi Partners,Yin&yang,"austin ha, joshua hachey","brandon farronato, colin tolentino",16,21,Pool Play,rivercup,Premier 5.0
Tube Steaks,Do2,"emerson dean, skyler sebring","david rowlands, spencer argenna",21,11,Pool Play,rivercup,Premier 5.0
Defected,GFD Cleveland Cowboys,"calyn kir, reilly paquette","daniel patten, levi rogers",21,17,Pool Play,rivercup,Premier 5.0
CRO Fall Damage,Nuts N Cuts LLC,"chris brown, tyler babin","brad yates, rob's traveler",21,16,Pool Play,rivercup,Premier 5.0
CRO happy birthday!,Prairie Oysters,"adrian garcea, leonardo tullo","deryk kirchner, keaton kirchner",15,21,Pool Play,rivercup,Premier 5.0
GFD Shorter & Taller,Milk Men,"andrew sullivan, caleb shorter","brendan reesor, derek soetemans",21,18,Pool Play,rivercup,Premier 5.0
The Prince,Sum(m)er Tim(e),"maxime prince, samuel prince","tim clifford, sumer dass",21,7,Pool Play,rivercup,Premier 5.0
CRO Reverse Funnel,Quick Hands,"nathan goh, nicholas puopolo","jordan meredith, joël laliberté",20,22,Pool Play,rivercup,Premier 5.0
Insystem,LIV Big Guns,"blake bosak, etienne cote","clifford amadeo leveque, grayson wills",21,18,Pool Play,rivercup,Premier 5.0
Soggy Tacos,Moshpit,"donald fung, josh hutko","bryan fonseca, shane soto",21,15,Pool Play,rivercup,Premier 5.0
Critical Hit,CRO Indi Partners,"justin barr, vincent mathieu","austin ha, joshua hachey",21,16,Pool Play,rivercup,Premier 5.0
GFD Get Gaped,Yin&yang,"nick evanko, tim lacagnina","brandon farronato, colin tolentino",24,22,Pool Play,rivercup,Premier 5.0
Tube Steaks,Defected,"emerson dean, skyler sebring","calyn kir, reilly paquette",21,12,Pool Play,rivercup,Premier 5.0
Wesburn,GFD Cleveland Cowboys,"eddy leung, ivan zeng","daniel patten, levi rogers",21,13,Pool Play,rivercup,Premier 5.0
CRO Fall Damage,CRO happy birthday!,"chris brown, tyler babin","adrian garcea, leonardo tullo",21,16,Pool Play,rivercup,Premier 5.0
Nelson/Wideman,Prairie Oysters,"connor nelson, nick wideman","deryk kirchner, keaton kirchner",21,15,Pool Play,rivercup,Premier 5.0
GFD Shorter & Taller,CRO Reverse Funnel,"andrew sullivan, caleb shorter","nathan goh, nicholas puopolo",21,18,Pool Play,rivercup,Premier 5.0
The Prince,Quick Hands,"maxime prince, samuel prince","jordan meredith, joël laliberté",21,14,Pool Play,rivercup,Premier 5.0
Sum(m)er Tim(e),Milk Men,"tim clifford, sumer dass","brendan reesor, derek soetemans",16,21,Pool Play,rivercup,Premier 5.0
Soggy Tacos,LIV Big Guns,"donald fung, josh hutko","clifford amadeo leveque, grayson wills",25,24,Pool Play,rivercup,Premier 5.0
CRO Double McTwist,Moshpit,"jared ang, kyle jeung","bryan fonseca, shane soto",15,21,Pool Play,rivercup,Premier 5.0
GFD Get Gaped,CRO Indi Partners,"nick evanko, tim lacagnina","austin ha, joshua hachey",21,14,Pool Play,rivercup,Premier 5.0
CRO Yorkers,Yin&yang,"dylan mark, stephen sweeney","brandon farronato, colin tolentino",20,22,Pool Play,rivercup,Premier 5.0
Wesburn,Defected,"eddy leung, ivan zeng","calyn kir, reilly paquette",19,21,Pool Play,rivercup,Premier 5.0
Do2,GFD Cleveland Cowboys,"david rowlands, spencer argenna","daniel patten, levi rogers",18,21,Pool Play,rivercup,Premier 5.0
Nelson/Wideman,CRO happy birthday!,"connor nelson, nick wideman","adrian garcea, leonardo tullo",21,13,Pool Play,rivercup,Premier 5.0
Nuts N Cuts LLC,Prairie Oysters,"brad yates, rob's traveler","deryk kirchner, keaton kirchner",18,21,Pool Play,rivercup,Premier 5.0
GFD Shorter & Taller,Sum(m)er Tim(e),"andrew sullivan, caleb shorter","tim clifford, sumer dass",21,13,Pool Play,rivercup,Premier 5.0
The Prince,CRO Reverse Funnel,"maxime prince, samuel prince","nathan goh, nicholas puopolo",21,9,Pool Play,rivercup,Premier 5.0
Milk Men,Quick Hands,"brendan reesor, derek soetemans","jordan meredith, joël laliberté",18,21,Pool Play,rivercup,Premier 5.0
Insystem,Soggy Tacos,"blake bosak, etienne cote","donald fung, josh hutko",21,15,Pool Play,rivercup,Premier 5.0
LIV Big Guns,CRO Double McTwist,"clifford amadeo leveque, grayson wills","jared ang, kyle jeung",21,15,Pool Play,rivercup,Premier 5.0
Critical Hit,GFD Get Gaped,"justin barr, vincent mathieu","nick evanko, tim lacagnina",21,17,Pool Play,rivercup,Premier 5.0
CRO Indi Partners,CRO Yorkers,"austin ha, joshua hachey","dylan mark, stephen sweeney",18,21,Pool Play,rivercup,Premier 5.0
Tube Steaks,Wesburn,"emerson dean, skyler sebring","eddy leung, ivan zeng",21,10,Pool Play,rivercup,Premier 5.0
Defected,Do2,"calyn kir, reilly paquette","david rowlands, spencer argenna",21,19,Pool Play,rivercup,Premier 5.0
CRO Fall Damage,Nelson/Wideman,"chris brown, tyler babin","connor nelson, nick wideman",18,21,Pool Play,rivercup,Premier 5.0
CRO happy birthday!,Nuts N Cuts LLC,"adrian garcea, leonardo tullo","brad yates, rob's traveler",16,21,Pool Play,rivercup,Premier 5.0
GFD Shorter & Taller,The Prince,"andrew sullivan, caleb shorter","maxime prince, samuel prince",20,22,Pool Play,rivercup,Premier 5.0
Sum(m)er Tim(e),Quick Hands,"tim clifford, sumer dass","jordan meredith, joël laliberté",15,21,Pool Play,rivercup,Premier 5.0
CRO Reverse Funnel,Milk Men,"nathan goh, nicholas puopolo","brendan reesor, derek soetemans",21,13,Pool Play,rivercup,Premier 5.0
Bomb Squad,Kluber Kreamers,"ben pernfuss, kelton law","aidan schaffer, seth cutler",21,10,Pool Play,rivercup,Contenders 4.5
Trakadaloupe,FCR Cold Cut Combo,"guillaume bilodeau, xavier lambert","isaiah bergsma, jake choi",21,15,Pool Play,rivercup,Contenders 4.5
Homies,Victory Laps,"jordan brandes, steven balamut","john lape, victor huang",21,15,Pool Play,rivercup,Contenders 4.5
NEM Tenacity,Blue-Green Algae,"joshua ang, judah thrall","kieran foord, matthew minchella",21,13,Pool Play,rivercup,Contenders 4.5
FCR BHAD Boys,FURY: REVENGE TOUR 😈,"joey renaud, nethaniel gabriel","andrew collard, jesse paul",21,19,Pool Play,rivercup,Contenders 4.5
Touching Balls,Rookies,"arjun dhankani, zak kovatch","mathis rodier, sabir qureshi",18,21,Pool Play,rivercup,Contenders 4.5
BRO Swaggy Kim,Brezra,"adam hassan, alex kim","brendan muggeridge, ezra campanelli",21,11,Pool Play,rivercup,Contenders 4.5
Nemesis Foundnet,FREE SMOKE,"brock .roundnet, malachi albrecht","gorgin fazli, josh sarmiento",21,10,Pool Play,rivercup,Contenders 4.5
Iced Out,FCR Age Gapped,"ian lane, john putney","jordan arnott, mo elmoursi",21,13,Pool Play,rivercup,Contenders 4.5
Short and Sweet,Feints & Flicks,"olivier bernard, pierre-luc robitaille","c.j. sison, gavin de moura",21,17,Pool Play,rivercup,Contenders 4.5
Till We Spike Again,No left,"aaron charette, trevor fleming","tim cheung, vincent dao",21,23,Pool Play,rivercup,Contenders 4.5
Spikeball Jesus,Los Kid Cutty,"aquila lee, pierre-andré gaumond","luis serrano, ricardo boscan",21,15,Pool Play,rivercup,Contenders 4.5
Better at Volleyball,Off -Road Rallies,"jon lefrois, mike hamilton","david reyes, kory crookston",21,17,Pool Play,rivercup,Contenders 4.5
Get Out Ball,Balls Up,"charlie freeman, andy freeman","cody ravindran, siddhartha datta",21,16,Pool Play,rivercup,Contenders 4.5
Bomb Squad,FCR Cold Cut Combo,"ben pernfuss, kelton law","isaiah bergsma, jake choi",25,24,Pool Play,rivercup,Contenders 4.5
The Imperials,Kluber Kreamers,"benjamin agnew, logan snair","aidan schaffer, seth cutler",10,21,Pool Play,rivercup,Contenders 4.5
Homies,Blue-Green Algae,"jordan brandes, steven balamut","kieran foord, matthew minchella",21,11,Pool Play,rivercup,Contenders 4.5
NEM Tenacity,FCR BHAD Boys,"joshua ang, judah thrall","joey renaud, nethaniel gabriel",16,21,Pool Play,rivercup,Contenders 4.5
FURY: REVENGE TOUR 😈,Victory Laps,"andrew collard, jesse paul","john lape, victor huang",21,16,Pool Play,rivercup,Contenders 4.5
Touching Balls,Brezra,"arjun dhankani, zak kovatch","brendan muggeridge, ezra campanelli",21,13,Pool Play,rivercup,Contenders 4.5
BRO Swaggy Kim,Nemesis Foundnet,"adam hassan, alex kim","brock .roundnet, malachi albrecht",23,21,Pool Play,rivercup,Contenders 4.5
FREE SMOKE,Rookies,"gorgin fazli, josh sarmiento","mathis rodier, sabir qureshi",21,15,Pool Play,rivercup,Contenders 4.5
Iced Out,Feints & Flicks,"ian lane, john putney","c.j. sison, gavin de moura",21,16,Pool Play,rivercup,Contenders 4.5
Short and Sweet,Till We Spike Again,"olivier bernard, pierre-luc robitaille","aaron charette, trevor fleming",21,14,Pool Play,rivercup,Contenders 4.5
No left,FCR Age Gapped,"tim cheung, vincent dao","jordan arnott, mo elmoursi",18,21,Pool Play,rivercup,Contenders 4.5
Spikeball Jesus,Off -Road Rallies,"aquila lee, pierre-andré gaumond","david reyes, kory crookston",21,15,Pool Play,rivercup,Contenders 4.5
Better at Volleyball,Get Out Ball,"jon lefrois, mike hamilton","charlie freeman, andy freeman",16,21,Pool Play,rivercup,Contenders 4.5
Balls Up,Los Kid Cutty,"cody ravindran, siddhartha datta","luis serrano, ricardo boscan",21,14,Pool Play,rivercup,Contenders 4.5
