Player 1,Player 2,Team Name,Division,Tournament
alex hart (asl),jake martha,American Spikers,Premier 5.0+,sts23portlandopen
carlin vicera,justin cho,Angry Goats 🐐,Premier 5.0+,sts23portlandopen
lucas banks,noah saddik,Baked Goods,Premier 5.0+,sts23portlandopen
kaleb wagner,trey thompson,BorderLine,Premier 5.0+,sts23portlandopen
conner bradshaw,ryan cho,Bradshaw/Cho,Premier 5.0+,sts23portlandopen
eddy leung,ivan zeng,Copy & Paste,Premier 5.0+,sts23portlandopen
davis jung,jake babbitt,Definitely High,Premier 5.0+,sts23portlandopen
josh cain,luke pennington,Dialed,Premier 5.0+,sts23portlandopen
brooks massey,paq clifford,Faze up,Premier 5.0+,sts23portlandopen
erik faeustle,joseph kaylor,Flashbang,Premier 5.0+,sts23portlandopen
jake woolley,nolan wynkoop,Foote Fetish,Premier 5.0+,sts23portlandopen
connor nelson,michael du,Fractal Spikes,Premier 5.0+,sts23portlandopen
blake bosak,etienne cote,Insystem,Premier 5.0+,sts23portlandopen
jason small,joshua travis,Never giving you my stickers,Premier 5.0+,sts23portlandopen
justin shaytar,kieran rose,Profit Boost,Premier 5.0+,sts23portlandopen
ryan slaughter,trevor slaughter,Slaughter Bros,Premier 5.0+,sts23portlandopen
brandon brown,jacob payer,Sub Par,Premier 5.0+,sts23portlandopen
austin rawlings,solomon berry,TBR Michael Jeff Probst,Premier 5.0+,sts23portlandopen
malachi espinola,zack duffy,The Rule of two,Premier 5.0+,sts23portlandopen
jackson blackburn,ryan mccargar,We dont want to win,Premier 5.0+,sts23portlandopen
andrew christmas,nick wideman,Wideman/Christmas,Premier 5.0+,sts23portlandopen
aiden davis,caleb triplett,2 BROS,Contender 4.5+,sts23portlandopen
cade cote,hernestor ramirez diaz,C&C,Contender 4.5+,sts23portlandopen
jack hart,curtis lawrence,ChaRizzma,Contender 4.5+,sts23portlandopen
dylan cloninger,justin anderson,Cloninger/Anderson,Contender 4.5+,sts23portlandopen
nate ellis,spencer wood,Cypress Boyz,Contender 4.5+,sts23portlandopen
kameron truett,rico rangel,Daddies,Contender 4.5+,sts23portlandopen
caleb chow,carlos nakamura,Father and Son,Contender 4.5+,sts23portlandopen
amanda wang,derek tang,Gaslighters,Contender 4.5+,sts23portlandopen
benjamin burnett,spencer vega,GCU FREAKS,Contender 4.5+,sts23portlandopen
andrew nakahara,trevor buchan,Golden Gate Keepers,Contender 4.5+,sts23portlandopen
jacob wunschel,mo beard,Hinder? I hardly know her!,Contender 4.5+,sts23portlandopen
angelo ibarrola,gurvansh singh,Hits and Giggles,Contender 4.5+,sts23portlandopen
alex osler,keegan cox,Hot Tub 4Play,Contender 4.5+,sts23portlandopen
ishraq joarder,mattias cipriano,KB24,Contender 4.5+,sts23portlandopen
dustin bishop,zachary kolokithas,2 Bros 1 Ball,Contender 4.5+,sts23portlandopen
garrett thomas,jimmy chung,Belay on,Contender 4.5+,sts23portlandopen
chaz klein,peter hart,Biggie Small,Contender 4.5+,sts23portlandopen
joshua coder,michael lindeken,Dad Bod Squad,Contender 4.5+,sts23portlandopen
devin swan,mitchell swan,Milfs and Menthol,Contender 4.5+,sts23portlandopen
garret james,jeron woods,Registered Set Offender's,Contender 4.5+,sts23portlandopen
micah phelps,quinn handley,Team Rocket,Contender 4.5+,sts23portlandopen
brock cottle,ryan armstrong,You set me up,Contender 4.5+,sts23portlandopen
christine chang,maia aton,$A ton of Chang$,Contender 4.5+,sts23portlandopen
bethany dinh,nicol gahley,Dinh/Gahley,Contender 4.5+,sts23portlandopen
elle lowe,malia sato,Sato/Lowe,Contender 4.5+,sts23portlandopen
sara bradshaw,staci coder,Sister Act,Contender 4.5+,sts23portlandopen
allie foster,shachi patel,Veggie Tales,Contender 4.5+,sts23portlandopen
david kriss,ty harmon,Actually Tennis Players,Contender 4.5+,sts23portlandopen
brad dejager,david brockman,Dawgs to 15,Contender 4.5+,sts23portlandopen
grace coder,megan coder,Hulk's Feet,Advanced 4.0,sts23portlandopen
benjamin hovies,carson hamel,Lumberjacks Baseball Club,Advanced 4.0,sts23portlandopen
phil gerigscott,philip longenecker,Net Flicks and Phils,Advanced 4.0,sts23portlandopen
brandon norby,sarah norby,Old Married Couple,Advanced 4.0,sts23portlandopen
andrew kreider glick,jared miller,Smokin G and the Menno-Nets,Advanced 4.0,sts23portlandopen
evan peterson,richard gutierrez,Tío and Daddy,Advanced 4.0,sts23portlandopen
amanda wang,jason small,50:50,Intermediate 3.0,sts23portlandopen
bethany dinh,joseph kaylor,@ss,Intermediate 3.0,sts23portlandopen
adam randall,jordan hemmen,Chaco Tan Line,Intermediate 3.0,sts23portlandopen
christine chang,trey thompson,"Code Word, Business",Intermediate 3.0,sts23portlandopen
maddy morehouse,nick wideman,Flotato,Intermediate 3.0,sts23portlandopen
blake bosak,judy tian,Fresh Prince of DeLair,Intermediate 3.0,sts23portlandopen
abbie amend,grant erickson,Grant/Abbie,Intermediate 3.0,sts23portlandopen
alex hershbine,jacob amend,GubGub,Intermediate 3.0,sts23portlandopen
