Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Rogue,Fashionably Late,"ryan marino, thomas hamilton","aleks essen, david gonzales",21,9,Pool Play,thepeopleschampionship,Premier
Basketball Purity,Dry Heat >,"jack bushart, joey reynolds","kalin morgan, thomas maloney",21,15,Pool Play,thepeopleschampionship,Premier
Bart Harley Jarvis,Cha Cha Slide,"clark marshall, ryan gross","brad yates, levi rogers",21,10,Pool Play,thepeopleschampionship,Premier
Wideman/ Kir,Super Awesome Spikers,"calyn kir, nick wideman","chris kaptur, max fiebelkorn",21,23,Pool Play,thepeopleschampionship,Premier
Kingdom Come,CRO Double McTwist,"grant klapwijk, matthew cole","jared ang, kyle jeung",21,11,Pool Play,thepeopleschampionship,Premier
Blind Spot,Tickle Me Elmo,"corey weiss, maxwell gunneson","austin ha, shane soto",21,12,Pool Play,thepeopleschampionship,Premier
Critical Hit,FCR BHAD Boys,"justin barr, vincent mathieu","joey renaud, nethaniel gabriel",21,11,Pool Play,thepeopleschampionship,Premier
GFD Shorter & Taller,CRO Fieldhousers,"andrew sullivan, caleb shorter","ben pernfuss, nicholas puopolo",21,12,Pool Play,thepeopleschampionship,Premier
Josh/Nick,Munch,"joshua hachey, nick evanko","gabriel skaggs, josiah mckinney",21,17,Pool Play,thepeopleschampionship,Premier
Swamp Donkeys,Primal,"emerson dean, etienne cote","micah bouman, ruben zapata",21,18,Pool Play,thepeopleschampionship,Premier
Those guys,Mass on Sunday,"matthew burrows, rendall weaver","bradley clark, justin kehoe",21,13,Pool Play,thepeopleschampionship,Premier
Skill Issue,Uossss,"adam porter, josh hutko","david rowlands, sam mccune",21,13,Pool Play,thepeopleschampionship,Premier
Pneumatic💥,CRO Dive Bar,"blake bosak, dawson morgan","dylan mark, logan snair",21,8,Pool Play,thepeopleschampionship,Premier
GFD Evasive Maneuvers,Vote No on 1 🇺🇸🇺🇸🇺🇸,"jenson miller, michael barkman","daniel patten, tommy oddo",21,12,Pool Play,thepeopleschampionship,Premier
Glitch,We Move,"cody dryer, luke nickel","clifford amadeo leveque, nate wilson",15,21,Pool Play,thepeopleschampionship,Premier
Profit Boost,CRO u up?,"justin shaytar, kieran rose","eric reinke, nathan goh",21,15,Pool Play,thepeopleschampionship,Premier
Nebs,Arledge/Hobart,"neal bergman, skyler sebring","brandon arledge, colin hobart",21,13,Pool Play,thepeopleschampionship,Premier
Daddy is always right,Beard/Broekema,"kyle fowler, owen bass","gavin broekema, lindros beard",21,16,Pool Play,thepeopleschampionship,Premier
Rogue,Dry Heat >,"ryan marino, thomas hamilton","kalin morgan, thomas maloney",21,7,Pool Play,thepeopleschampionship,Premier
