Team 1,Team 2,Players 1,Players 2,Score 1,Score 2,Tournament Stage,Tournament Name,Division
Cerebral Drizzle,Hash Slinging Slashers,"brian childs, matthew burrows","paul belton, walter siller",21,15,Pool Play,tasr-houston-major,Gold 5.0
Pink Lemonade,Fajita Rita,"aj hutchinson, nathan garcia","james ledbetter, josiah sanders",14,21,Pool Play,tasr-houston-major,Gold 5.0
Heroes and Villains,New Cut,"andrew christmas, tyler fernandez","david z, hayden woolard",21,10,Pool Play,tasr-houston-major,Gold 5.0
nap,Rice Cakes,"caleb cummings, nickhil anantha","jp chincuanco, owen lynch",21,14,Pool Play,tasr-houston-major,Gold 5.0
The WySpiker and the Wannabe,6 Paths,"brandon arledge, luke mowry","iason hayes, isaac bozarth",21,17,Pool Play,tasr-houston-major,Gold 5.0
Cerebral Drizzle,Fajita Rita,"brian childs, matthew burrows","james ledbetter, josiah sanders",21,15,Pool Play,tasr-houston-major,Gold 5.0
Dax and worse Dax,Hash Slinging Slashers,"dax o'hair, ian austin","paul belton, walter siller",21,12,Pool Play,tasr-houston-major,Gold 5.0
Heroes and Villains,Rice Cakes,"andrew christmas, tyler fernandez","jp chincuanco, owen lynch",21,15,Pool Play,tasr-houston-major,Gold 5.0
Toxic Babblers,New Cut,"garrett ashton, jonathan burer","david z, hayden woolard",21,13,Pool Play,tasr-houston-major,Gold 5.0
Single Clutch,6 Paths,"grayson m wills, rahul murthy","iason hayes, isaac bozarth",21,16,Pool Play,tasr-houston-major,Gold 5.0
Cerebral Drizzle,Dax and worse Dax,"brian childs, matthew burrows","dax o'hair, ian austin",21,15,Pool Play,tasr-houston-major,Gold 5.0
Pink Lemonade,Hash Slinging Slashers,"aj hutchinson, nathan garcia","paul belton, walter siller",21,15,Pool Play,tasr-houston-major,Gold 5.0
Heroes and Villains,Toxic Babblers,"andrew christmas, tyler fernandez","garrett ashton, jonathan burer",21,15,Pool Play,tasr-houston-major,Gold 5.0
