Player 1,Player 2,Team Name,Division,Tournament
iason hayes,isaac bozarth,6 Paths,Gold 5.0,tasr-houston-major
brian childs,matthew burrows,Cerebral Drizzle,Gold 5.0,tasr-houston-major
dax o'hair,ian austin,Dax and worse Dax,Gold 5.0,tasr-houston-major
james ledbetter,josiah sanders,Fajita Rita,Gold 5.0,tasr-houston-major
paul belton,walter siller,Hash Slinging Slashers,Gold 5.0,tasr-houston-major
andrew christmas,tyler fernandez,Heroes and Villains,Gold 5.0,tasr-houston-major
cade larson,luke marshall,Lazy,Gold 5.0,tasr-houston-major
caleb cummings,nickhil anantha,nap,Gold 5.0,tasr-houston-major
david z,hayden woolard,New Cut,Gold 5.0,tasr-houston-major
aj hutchinson,nathan garcia,Pink Lemonade,Gold 5.0,tasr-houston-major
jp chincuanco,owen lynch,Rice Cakes,Gold 5.0,tasr-houston-major
grayson m wills,rahul murthy,Single Clutch,Gold 5.0,tasr-houston-major
brandon arledge,luke mowry,The WySpiker and the Wannabe,Gold 5.0,tasr-houston-major
garrett ashton,jonathan burer,Toxic Babblers,Gold 5.0,tasr-houston-major
felipe martinez,kevin cadle,Yucky,Gold 5.0,tasr-houston-major
andrew leasau,james mack,Beginners Luck,Advanced 4.0,tasr-houston-major
dylan jimenez,robert sellers,Flummoxed,Advanced 4.0,tasr-houston-major
caleb erwin,josiah cheng-guajardo,Joint Crackers,Advanced 4.0,tasr-houston-major
michael milliorn,samuel cole,Lab rats,Advanced 4.0,tasr-houston-major
joseph dinh,ray saenz,Mexican Rice,Advanced 4.0,tasr-houston-major
mark randall,richard davis,RAM,Advanced 4.0,tasr-houston-major
barrett maguire,james hudson,Sons of Siemann,Advanced 4.0,tasr-houston-major
aravindhan p,narender reddy,SpikeMachas,Advanced 4.0,tasr-houston-major
sricharan modali,saikumar vummuti,SS's,Advanced 4.0,tasr-houston-major
armando saenz,brendan walker,Woof Bark Dog,Advanced 4.0,tasr-houston-major
